FTR,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
H,Bournemouth,Swansea,3,2,1.95,3.5,4.33
D,Norwich,Man City,0,0,6,4.2,1.6
A,Stoke,Southampton,1,2,2.7,3.2,2.9
A,Aston Villa,Tottenham,0,2,7.5,4.5,1.5
H,Leicester,Newcastle,1,0,1.57,4.33,6.25
D,Chelsea,West Ham,2,2,1.75,3.8,5.25
A,Crystal Palace,Leicester,0,1,3,3.4,2.5
A,Everton,Arsenal,0,2,2.7,3.5,2.7
H,Swansea,Aston Villa,1,0,1.67,3.8,6
A,Watford,Stoke,1,2,2.4,3.25,3.3
A,West Brom,Norwich,0,1,2.25,3.3,3.6
A,Man City,Man United,0,1,1.83,3.75,4.75
D,Newcastle,Sunderland,1,1,2.1,3.5,3.8
H,Southampton,Liverpool,3,2,2.63,3.4,2.88
H,Tottenham,Bournemouth,3,0,1.53,4.33,7
H,Arsenal,Watford,4,0,1.36,5.25,10
A,Aston Villa,Chelsea,0,4,6.5,4.33,1.57
A,Bournemouth,Man City,0,4,3.75,3.6,2.1
D,Liverpool,Tottenham,1,1,2.5,3.4,3
H,Norwich,Newcastle,3,2,2.2,3.4,3.6
D,Stoke,Swansea,2,2,2.2,3.4,3.6
D,Sunderland,West Brom,0,0,2.1,3.3,4
D,West Ham,Crystal Palace,2,2,1.95,3.6,4.2
H,Leicester,Southampton,1,0,2.25,3.4,3.5
H,Man United,Everton,1,0,2.1,3.5,3.75
A,Aston Villa,Bournemouth,1,2,3.4,3.2,2.2
H,Crystal Palace,Norwich,1,0,2.05,3.4,3.6
H,Man City,West Brom,2,1,1.33,5,9
H,Southampton,Newcastle,3,1,1.53,4,6
H,Swansea,Chelsea,1,0,3.75,3.4,2
D,Watford,Everton,1,1,3.4,3.3,2.15
D,West Ham,Arsenal,3,3,3.6,3.5,2
H,Liverpool,Stoke,4,1,1.55,4,5.75
A,Sunderland,Leicester,0,2,3.4,3.4,2.1
H,Tottenham,Man United,3,0,1.91,3.5,4
D,Crystal Palace,Everton,0,0,2.9,3.4,2.6
A,Chelsea,Man City,0,3,2.75,3.4,2.7
D,Everton,Southampton,1,1,2.7,3.4,2.8
H,Man United,Aston Villa,1,0,1.22,7,17
H,Newcastle,Swansea,3,0,2.3,3.4,3.4
A,Norwich,Sunderland,0,3,2.4,3.3,3.25
A,West Brom,Watford,0,1,2.4,3.2,3.4
D,Arsenal,Crystal Palace,1,1,1.33,5.75,9.5
A,Bournemouth,Liverpool,1,2,3.6,3.5,2.15
D,Leicester,West Ham,2,2,1.95,3.6,4.2
A,Stoke,Tottenham,0,4,4.5,3.75,1.85
D,Newcastle,Man City,1,1,6,4.5,1.57
H,Liverpool,Everton,4,0,1.73,4,5
H,Man United,Crystal Palace,2,0,1.53,4.33,7
H,West Ham,Watford,3,1,1.57,4.33,6.5
H,Arsenal,West Brom,2,0,1.29,6,13
A,Aston Villa,Southampton,2,4,7.5,4.2,1.53
A,Bournemouth,Chelsea,1,4,3.1,3.5,2.4
D,Liverpool,Newcastle,2,2,1.57,4.5,6
H,Man City,Stoke,4,0,1.3,6,11
H,Leicester,Swansea,4,0,1.75,3.7,5.5
D,Sunderland,Arsenal,0,0,4.5,4,1.8
D,Tottenham,West Brom,1,1,1.22,7,15
H,Arsenal,Norwich,1,0,1.29,6.5,11
H,Everton,Bournemouth,2,1,2,3.8,3.8
H,Newcastle,Crystal Palace,1,0,2,3.6,4
D,Stoke,Sunderland,1,1,2.75,3.3,2.8
H,Watford,Aston Villa,3,2,1.7,3.8,5.75
A,West Brom,West Ham,0,3,4,3.4,2.1
D,Man United,Leicester,1,1,2.1,3.4,3.9
H,Southampton,Man City,4,2,2.8,3.4,2.7
H,Swansea,Liverpool,3,1,3.1,3.5,2.4
D,Chelsea,Tottenham,2,2,2.75,3.6,2.63
D,Aston Villa,Newcastle,0,0,5.75,4.2,1.65
D,Bournemouth,West Brom,1,1,1.95,3.6,4.2
H,Crystal Palace,Stoke,2,1,2.05,3.5,3.9
H,Leicester,Everton,3,1,1.91,4,4
A,Norwich,Man United,0,1,4.5,3.6,1.91
H,Sunderland,Chelsea,3,2,3,3.5,2.45
A,West Ham,Swansea,1,4,1.44,4.75,8
H,Liverpool,Watford,2,0,1.5,4.5,7.5
D,Man City,Arsenal,2,2,2.5,3.6,2.9
A,Tottenham,Southampton,1,2,2.05,3.6,3.9
H,West Ham,Man United,3,2,3,3.5,2.45
D,Liverpool,Chelsea,1,1,2,3.8,3.8
H,Norwich,Watford,4,2,1.83,3.75,4.75
H,Sunderland,Everton,3,0,1.75,4,5
H,Arsenal,Aston Villa,4,0,1.17,9,17
D,Chelsea,Leicester,1,1,2.3,3.75,3.1
H,Everton,Norwich,3,0,1.8,4,4.5
H,Newcastle,Tottenham,5,1,4.5,4,1.8
H,Southampton,Crystal Palace,4,1,1.36,5.5,9
H,Stoke,West Ham,2,1,3.5,3.6,2.15
D,Swansea,Man City,1,1,6,4.75,1.53
D,Watford,Sunderland,2,2,2.05,3.75,3.7
D,West Brom,Liverpool,1,1,2.4,3.6,3
H,Man United,Bournemouth,3,1,1.67,4.2,5.25
